anio,mes,nombre_mes,total_observaciones,total_menciones,total_interacciones,promedio_score_adopcion,score_adopcion_total,score_adopcion_mes_anterior,variacion_absoluta_adopcion,variacion_porcentual_adopcion
2023,1,Enero,5656,40749,83124,0.0795,449.75,,449.75,
2023,2,Febrero,5064,40555,79869,0.0886,448.44,449.75,-1.31,-0.29
2023,3,Marzo,5671,39352,77927,0.0766,434.13,448.44,-14.31,-3.19
2023,4,Abril,5461,42869,85374,0.0869,474.75,434.13,40.62,9.36
2023,5,Mayo,5638,43404,87944,0.0851,479.74,474.75,4.99,1.05
2023,6,Junio,5502,42816,85027,0.0862,474.17,479.74,-5.57,-1.16
2023,7,Julio,5660,41734,83020,0.0814,460.67,474.17,-13.5,-2.85
2023,8,Agosto,5673,42282,83806,0.0824,467.28,460.67,6.61,1.43
2023,9,Septiembre,5505,41716,82602,0.0841,463.04,467.28,-4.24,-0.91
2023,10,Octubre,5727,47514,93988,0.092,526.67,463.04,63.63,13.74
2023,11,Noviembre,5413,39330,78110,0.0806,436.34,526.67,-90.33,-17.15
2023,12,Diciembre,5664,37259,74417,0.0725,410.71,436.34,-25.63,-5.87
2024,1,Enero,5603,41735,82927,0.0823,461.08,410.71,50.37,12.26
2024,2,Febrero,5298,36684,73096,0.0764,404.77,461.08,-56.31,-12.21
2024,3,Marzo,5633,44658,88766,0.0879,494.91,404.77,90.14,22.27
2024,4,Abril,5586,41006,82228,0.0811,453.03,494.91,-41.88,-8.46
2024,5,Mayo,5689,44056,87076,0.0856,487.03,453.03,34.0,7.51
2024,6,Junio,5528,39395,78466,0.0786,434.69,487.03,-52.34,-10.75
2024,7,Julio,5734,42897,86580,0.0828,474.89,434.69,40.2,9.25
2024,8,Agosto,5603,46829,92756,0.0927,519.12,474.89,44.23,9.31
2024,9,Septiembre,5448,46032,91303,0.0934,509.08,519.12,-10.04,-1.93
2024,10,Octubre,5694,39814,79415,0.0774,440.51,509.08,-68.57,-13.47
2024,11,Noviembre,5474,42157,84259,0.0851,465.96,440.51,25.45,5.78
2024,12,Diciembre,5723,46609,92431,0.09,515.27,465.96,49.31,10.58
2025,1,Enero,5741,50697,100594,0.0977,561.11,515.27,45.84,8.9
2025,2,Febrero,5315,42886,99475,0.0893,474.78,561.11,-86.33,-15.39
2025,3,Marzo,5782,52368,105347,0.1002,579.16,474.78,104.38,21.98
2025,4,Abril,5574,40258,90062,0.0795,443.2,579.16,-135.96,-23.48
2025,5,Mayo,5730,45390,90015,0.0876,502.2,443.2,59.0,13.31
2025,6,Junio,5628,46021,93738,0.0903,508.08,502.2,5.88,1.17
2025,7,Julio,5749,54707,108735,0.1052,604.76,508.08,96.68,19.03
2025,8,Agosto,5828,43137,89147,0.0816,475.42,604.76,-129.34,-21.39
2025,9,Septiembre,5594,38182,76535,0.0751,420.15,475.42,-55.27,-11.63
2025,10,Octubre,5820,40764,84148,0.0771,448.82,420.15,28.67,6.82
2025,11,Noviembre,5531,41145,83798,0.0821,454.23,448.82,5.41,1.21
2025,12,Diciembre,5909,42158,85344,0.0785,463.69,454.23,9.46,2.08
2026,1,Enero,5880,38261,80586,0.0713,419.08,463.69,-44.61,-9.62
2026,2,Febrero,5330,38077,78381,0.0782,416.96,419.08,-2.12,-0.51
2026,3,Marzo,6033,39730,82812,0.0719,433.73,416.96,16.77,4.02
2026,4,Abril,5827,45031,168726,0.085,495.26,433.73,61.53,14.19
2026,5,Mayo,5978,47824,95541,0.0882,527.31,495.26,32.05,6.47
2026,6,Junio,5625,36060,72257,0.0703,395.4,527.31,-131.91,-25.02
2026,7,Julio,2319,15475,30642,0.0735,170.34,395.4,-225.06,-56.92
